"","correlation","variable","lb","es","ub","k"
"1","r_0.3","1_disorders",-1.27809257560862,-0.71516370993681,-0.152234844264998,2
"2","r_0.3","1_mood",-0.386473674798365,-0.0775667996236307,0.231340075551104,2
"3","r_0.3","1_Outcome expectations",-0.82096767156913,-0.157142857142857,0.506681957283416,1
"4","r_0.3","1_QOL",-0.116204331394696,0.310042406158366,0.736289143711429,2
"5","r_0.3","1_self-efficacy",0.300301284631813,0.607939406964737,0.915577529297661,2
"6","r_0.3","1_self-esteem",0.133811448038721,0.332617613792275,0.531423779545828,2
"7","r_0.3","1_strength",0.74723796121809,1.26334300122949,1.77944804124088,5
"8","r_0.3","2_disorders",-1.20178682437491,-0.755531338071451,-0.309275851767991,1
"9","r_0.3","2_inhibition",0.0365459069745889,0.278374556943657,0.520203206912725,2
"10","r_0.3","2_mood",-0.144085551692792,0.193668220029791,0.531421991752374,1
"11","r_0.3","2_Outcome expectations",-0.248166071843415,0.383322056154973,1.01481018415336,2
"12","r_0.3","2_QOL",-0.0213645975271106,0.0984124978322117,0.218189593191534,3
"13","r_0.3","2_self-efficacy",-0.0879900889051927,0.127429785300576,0.342849659506345,2
"14","r_0.3","2_self-esteem",0.0193626348737471,0.117666994790756,0.215971354707765,4
"15","r_0.3","2_strength",-0.3933074384713,0.292917403450025,0.979142245371349,5
"16","r_0.3","2_stress",-0.464225297822138,0.0102599179206567,0.484745133663451,1
"17","r_0.3","3_disorders",-0.115759528465831,0.617296174781496,1.35035187802882,1
"18","r_0.3","3_mood",-0.573084930275101,-0.182507627605484,0.208069675064132,2
"19","r_0.3","3_QOL",-0.299141083856574,0.588572950707913,1.4762869852724,1
"20","r_0.3","3_self-esteem",0.012187407493889,0.166361216425429,0.320535025356968,1
"21","r_0.3","3_strength",0.0241367291213211,0.449670656345278,0.875204583569235,2
"22","r_0.5","1_disorders",-1.19092543586884,-0.715163709936811,-0.239401984004781,2
"23","r_0.5","1_mood",-0.391799732567582,-0.0824176531680126,0.226964426231556,2
"24","r_0.5","1_Outcome expectations",-0.718177223449589,-0.157142857142857,0.403891509163876,1
"25","r_0.5","1_QOL",-0.110101167931642,0.293682202874074,0.69746557367979,2
"26","r_0.5","1_self-efficacy",0.307019486988852,0.622503809275263,0.937988131561675,2
"27","r_0.5","1_self-esteem",0.12287702909049,0.359251806614338,0.595626584138185,2
"28","r_0.5","1_strength",0.750380679414188,1.25365058073443,1.75692048205467,5
"29","r_0.5","2_disorders",-1.13268606101676,-0.75553133807145,-0.378376615126138,1
"30","r_0.5","2_inhibition",0.0739920445070458,0.278374556943657,0.482757069380268,2
"31","r_0.5","2_mood",-0.144085261263893,0.193667387692364,0.531420036648621,1
"32","r_0.5","2_Outcome expectations",-0.241947814621001,0.390472775469299,1.0228933655596,2
"33","r_0.5","2_QOL",-0.0206261289236466,0.08761355089498,0.195853230713607,3
"34","r_0.5","2_self-efficacy",-0.0546332379375113,0.127429785300576,0.309492808538664,2
"35","r_0.5","2_self-esteem",0.0268075969789294,0.112351858037887,0.197896119096844,4
"36","r_0.5","2_strength",-0.397711241813724,0.29551454355672,0.988740328927164,5
"37","r_0.5","2_stress",-0.390753280970144,0.0102599179206567,0.411273116811458,1
"38","r_0.5","3_disorders",-0.00224897177098693,0.617296174781497,1.23684132133398,1
"39","r_0.5","3_mood",-0.578454979065704,-0.187200187336966,0.204054604391772,2
"40","r_0.5","3_QOL",-0.29914095042374,0.588571970142022,1.47628489070778,1
"41","r_0.5","3_self-esteem",0.0360544617592842,0.166361216420333,0.296667971081381,1
"42","r_0.5","3_strength",0.0242159462276805,0.449658356745641,0.875100767263601,2
"43","r_0.7","1_disorders",-1.13232303902429,-0.722116509505135,-0.311909979985981,2
"44","r_0.7","1_mood",-0.391794318274444,-0.0824157026783513,0.226962912917741,2
"45","r_0.7","1_Outcome expectations",-0.591718208614058,-0.157142857142857,0.277432494328345,1
"46","r_0.7","1_QOL",-0.099957007105423,0.277321935929547,0.654600878964517,2
"47","r_0.7","1_self-efficacy",0.316459748702306,0.637068211585788,0.95767667446927,2
"48","r_0.7","1_self-esteem",0.128367129113457,0.387976327447452,0.647585525781447,2
"49","r_0.7","1_strength",0.755889555285199,1.24348390460872,1.73107825393224,5
"50","r_0.7","2_disorders",-1.04768059588172,-0.755531341455449,-0.463382087029177,1
"51","r_0.7","2_inhibition",0.120039217238207,0.278373424724045,0.436707632209883,2
"52","r_0.7","2_mood",-0.144084970833644,0.193666555349636,0.531418081532917,1
"53","r_0.7","2_Outcome expectations",-0.235417973643472,0.397623494783626,1.03066496321072,2
"54","r_0.7","2_QOL",-0.0260284318730211,0.0783856554323038,0.182799742737629,3
"55","r_0.7","2_self-efficacy",-0.0135956260916812,0.127429785300576,0.268455196692833,2
"56","r_0.7","2_self-esteem",0.0316807801688199,0.108760993028842,0.185841205888863,4
"57","r_0.7","2_strength",-0.40175037869759,0.298125845738413,0.998002070174416,5
"58","r_0.7","2_stress",-0.30036357026203,0.0102599179206567,0.320883406103344,1
"59","r_0.7","3_disorders",0.137398567817216,0.617296174781496,1.09719378174578,1
"60","r_0.7","3_mood",-0.57592498471143,-0.184971227428683,0.205982529854064,2
"61","r_0.7","3_QOL",-0.299140816989855,0.588570989573681,1.47628279613722,1
"62","r_0.7","3_self-esteem",0.0468147546723922,0.166361200803045,0.285907646933698,1
"63","r_0.7","3_strength",0.0242952153916364,0.449646041989669,0.874996868587701,2
